%missing,AUC,Accuracy,F1-score,classifier,w_unlabelled
0.2,0.882409560239,0.8825,0.879795396419,clsdep_mlp,0.8
0.2,0.957511437786,0.9575,0.957393483709,mlp,0.9
0.2,0.962561564039,0.9625,0.962779156328,hardb_mlp,0.9
0.2,0.862409060227,0.8625,0.859335038363,clsdep_mlp,0.9
0.2,0.864921623041,0.865,0.862244897959,mlp,1.0
0.2,0.955073876847,0.955,0.955445544554,hardb_mlp,1.0
0.2,0.837133428336,0.8375,0.823848238482,clsdep_mlp,1.0
0.4,0.870571764294,0.87,0.882882882883,mlp,0.1
0.4,0.952686317158,0.9525,0.953995157385,hardb_mlp,0.1
0.4,0.778606965174,0.7775,0.817248459959,clsdep_mlp,0.1
0.4,0.870571764294,0.87,0.882882882883,mlp,0.2
0.4,0.86805920148,0.8675,0.880361173815,hardb_mlp,0.2
0.4,0.957661441536,0.9575,0.958637469586,clsdep_mlp,0.2
0.4,0.96017400435,0.96,0.961165048544,mlp,0.3
0.4,0.952686317158,0.9525,0.953995157385,hardb_mlp,0.3
0.4,0.93266081652,0.9325,0.934306569343,clsdep_mlp,0.3
0.4,0.955198879972,0.955,0.95652173913,mlp,0.4
0.4,0.855071376784,0.855,0.856435643564,hardb_mlp,0.4
0.4,0.960099002475,0.96,0.960591133005,clsdep_mlp,0.4
0.4,0.940123503088,0.94,0.941176470588,mlp,0.5
0.4,0.869996749919,0.87,0.869346733668,hardb_mlp,0.5
0.4,0.945173629341,0.945,0.946601941748,clsdep_mlp,0.5
0.4,0.872334308358,0.8725,0.867532467532,mlp,0.6
0.4,0.860496512413,0.86,0.872146118721,hardb_mlp,0.6
0.4,0.955048876222,0.955,0.955223880597,clsdep_mlp,0.6
0.4,0.887159678992,0.8875,0.878706199461,mlp,0.7
0.4,0.950198754969,0.95,0.951690821256,hardb_mlp,0.7
0.4,0.954973874347,0.955,0.954545454545,clsdep_mlp,0.7
0.4,0.957461436536,0.9575,0.956962025316,mlp,0.8
0.4,0.942711067777,0.9425,0.944578313253,hardb_mlp,0.8
0.4,0.864546613665,0.865,0.850828729282,clsdep_mlp,0.8
0.4,0.851983799595,0.8525,0.834733893557,mlp,0.9
0.4,0.96007400185,0.96,0.960396039604,hardb_mlp,0.9
0.4,0.894572364309,0.895,0.884615384615,clsdep_mlp,0.9
0.4,0.944973624341,0.945,0.944444444444,mlp,1.0
0.4,0.857533938348,0.8575,0.857855361596,hardb_mlp,1.0
0.4,0.89213480337,0.8925,0.883468834688,clsdep_mlp,1.0
1.0,0.5,0.5025,0.0,mlp,0.1
1.0,0.5,0.5025,0.0,hardb_mlp,0.1
1.0,0.5,0.5025,0.0,clsdep_mlp,0.1
1.0,0.5,0.5025,0.0,mlp,0.2
1.0,0.5,0.5025,0.0,hardb_mlp,0.2
1.0,0.5,0.5025,0.0,clsdep_mlp,0.2
1.0,0.5,0.5025,0.0,mlp,0.3
1.0,0.5,0.5025,0.0,hardb_mlp,0.3
1.0,0.5,0.5025,0.0,clsdep_mlp,0.3
1.0,0.5,0.5025,0.0,mlp,0.4
1.0,0.5,0.5025,0.0,hardb_mlp,0.4
1.0,0.5,0.5025,0.0,clsdep_mlp,0.4
1.0,0.5,0.5025,0.0,mlp,0.5
1.0,0.5,0.5025,0.0,hardb_mlp,0.5
1.0,0.5,0.5025,0.0,clsdep_mlp,0.5
1.0,0.5,0.5025,0.0,mlp,0.6
1.0,0.5,0.5025,0.0,hardb_mlp,0.6
1.0,0.5,0.5025,0.0,clsdep_mlp,0.6
1.0,0.5,0.5025,0.0,mlp,0.7
1.0,0.5,0.5025,0.0,hardb_mlp,0.7
1.0,0.5,0.5025,0.0,clsdep_mlp,0.7
1.0,0.5,0.5025,0.0,mlp,0.8
1.0,0.5,0.5025,0.0,hardb_mlp,0.8
1.0,0.5,0.5025,0.0,clsdep_mlp,0.8
1.0,0.5,0.5025,0.0,mlp,0.9
1.0,0.5,0.5025,0.0,hardb_mlp,0.9
1.0,0.5,0.5025,0.0,clsdep_mlp,0.9
1.0,0.5,0.5025,0.0,mlp,1.0
1.0,0.5,0.5025,0.0,hardb_mlp,1.0
1.0,0.5,0.5025,0.0,clsdep_mlp,1.0
0.8,0.90763519088,0.9075,0.909535452323,mlp,0.1
0.8,0.835670891772,0.835,0.853982300885,hardb_mlp,0.1
0.8,0.838158453961,0.8375,0.855875831486,clsdep_mlp,0.1
0.8,0.859921498037,0.86,0.857142857143,mlp,0.2
0.8,0.845646141154,0.845,0.862222222222,hardb_mlp,0.2
0.8,0.835195879897,0.835,0.840579710145,clsdep_mlp,0.2
0.8,0.826933173329,0.8275,0.804532577904,mlp,0.3
0.8,0.870221755544,0.87,0.875,hardb_mlp,0.3
0.8,0.829370734268,0.83,0.804597701149,clsdep_mlp,0.3
0.8,0.801607540189,0.8025,0.758409785933,mlp,0.4
0.8,0.838158453961,0.8375,0.855875831486,hardb_mlp,0.4
0.8,0.836808420211,0.8375,0.810495626822,clsdep_mlp,0.4
0.8,0.786532163304,0.7875,0.735202492212,mlp,0.5
0.8,0.812982824571,0.8125,0.828375286041,hardb_mlp,0.5
0.8,0.778994474862,0.78,0.723270440252,clsdep_mlp,0.5
0.8,0.78401960049,0.785,0.73125,mlp,0.6
0.8,0.897584939623,0.8975,0.898765432099,hardb_mlp,0.6
0.8,0.78401960049,0.785,0.73125,clsdep_mlp,0.6
0.8,0.766406660167,0.7675,0.700964630225,mlp,0.7
0.8,0.875221880547,0.875,0.879807692308,hardb_mlp,0.7
0.8,0.786532163304,0.7875,0.735202492212,clsdep_mlp,0.7
0.8,0.761381534538,0.7625,0.692556634304,mlp,0.8
0.8,0.838158453961,0.8375,0.855875831486,hardb_mlp,0.8
0.8,0.778919472987,0.78,0.717948717949,clsdep_mlp,0.8
0.8,0.743818595465,0.745,0.664473684211,mlp,0.9
0.8,0.838158453961,0.8375,0.855875831486,hardb_mlp,0.9
0.8,0.708542713568,0.71,0.58865248227,clsdep_mlp,0.9
0.8,0.733693342334,0.735,0.639455782313,mlp,1.0
0.8,0.838158453961,0.8375,0.855875831486,hardb_mlp,1.0
0.8,0.658291457286,0.66,0.480916030534,clsdep_mlp,1.0
0.6,0.823333083327,0.8225,0.847311827957,mlp,0.1
0.6,0.852883822096,0.8525,0.862470862471,hardb_mlp,0.1
0.6,0.5,0.4975,0.664440734558,clsdep_mlp,0.1
0.6,0.90743518588,0.9075,0.905852417303,mlp,0.2
0.6,0.82828320708,0.8275,0.85032537961,hardb_mlp,0.2
0.6,0.849946248656,0.85,0.847715736041,clsdep_mlp,0.2
0.6,0.924873121828,0.925,0.922680412371,mlp,0.3
0.6,0.872509312733,0.8725,0.872180451128,hardb_mlp,0.3
0.6,0.917385434636,0.9175,0.915167095116,clsdep_mlp,0.3
0.6,0.872084302108,0.8725,0.860273972603,mlp,0.4
0.6,0.85534638366,0.855,0.863849765258,hardb_mlp,0.4
0.6,0.879496987425,0.88,0.865921787709,clsdep_mlp,0.4
0.6,0.864546613665,0.865,0.850828729282,mlp,0.5
0.6,0.86755918898,0.8675,0.868486352357,hardb_mlp,0.5
0.6,0.847058676467,0.8475,0.831955922865,clsdep_mlp,0.5
0.6,0.831883297082,0.8325,0.808022922636,mlp,0.6
0.6,0.874996874922,0.875,0.874371859296,hardb_mlp,0.6
0.6,0.849546238656,0.85,0.834254143646,clsdep_mlp,0.6
0.6,0.85195879897,0.8525,0.833802816901,mlp,0.7
0.6,0.927435685892,0.9275,0.926208651399,hardb_mlp,0.7
0.6,0.814295357384,0.815,0.783625730994,clsdep_mlp,0.7
0.6,0.829395734893,0.83,0.805714285714,mlp,0.8
0.6,0.850221255531,0.85,0.855769230769,hardb_mlp,0.8
0.6,0.814270356759,0.815,0.782352941176,clsdep_mlp,0.8
0.6,0.804245106128,0.805,0.769230769231,mlp,0.9
0.6,0.847483687092,0.8475,0.846347607053,hardb_mlp,0.9
0.6,0.82429560739,0.825,0.795321637427,clsdep_mlp,0.9
0.6,0.831808295207,0.8325,0.804664723032,mlp,1.0
0.6,0.927435685892,0.9275,0.926208651399,hardb_mlp,1.0
0.6,0.836783419585,0.8375,0.809384164223,clsdep_mlp,1.0
0.3,0.870571764294,0.87,0.882882882883,mlp,0.1
0.3,0.877934448361,0.8775,0.886836027714,hardb_mlp,0.1
0.3,0.952711317783,0.9525,0.95421686747,clsdep_mlp,0.1
0.3,0.950173754344,0.95,0.95145631068,mlp,0.2
0.3,0.962611565289,0.9625,0.963144963145,hardb_mlp,0.2
0.3,0.877984449611,0.8775,0.887871853547,clsdep_mlp,0.2
0.3,0.870396759919,0.87,0.879069767442,mlp,0.3
0.3,0.927685692142,0.9275,0.929782082324,hardb_mlp,0.3
0.3,0.950148753719,0.95,0.951219512195,clsdep_mlp,0.3
0.3,0.955173879347,0.955,0.956310679612,mlp,0.4
0.3,0.882959573989,0.8825,0.891954022989,hardb_mlp,0.4
0.3,0.847458686467,0.8475,0.845569620253,clsdep_mlp,0.4
0.3,0.86770919273,0.8675,0.872289156627,mlp,0.5
0.3,0.955173879347,0.955,0.956310679612,hardb_mlp,0.5
0.3,0.957611440286,0.9575,0.958230958231,clsdep_mlp,0.5
0.3,0.869996749919,0.87,0.869346733668,mlp,0.6
0.3,0.950148753719,0.95,0.951219512195,hardb_mlp,0.6
0.3,0.854796369909,0.855,0.848167539267,clsdep_mlp,0.6
0.3,0.950073751844,0.95,0.950495049505,mlp,0.7
0.3,0.94766119153,0.9475,0.948905109489,hardb_mlp,0.7
0.3,0.939973499337,0.94,0.939393939394,clsdep_mlp,0.7
0.3,0.847258681467,0.8475,0.839050131926,mlp,0.8
0.3,0.952686317158,0.9525,0.953995157385,hardb_mlp,0.8
0.3,0.869796744919,0.87,0.86387434555,clsdep_mlp,0.8
0.3,0.859821495537,0.86,0.854166666667,mlp,0.9
0.3,0.862534063352,0.8625,0.862842892768,hardb_mlp,0.9
0.3,0.9599239981,0.96,0.959183673469,clsdep_mlp,0.9
0.3,0.9599239981,0.96,0.959183673469,mlp,1.0
0.3,0.9601240031,0.96,0.960784313725,hardb_mlp,1.0
0.3,0.872259306483,0.8725,0.865435356201,clsdep_mlp,1.0
0.1,0.803432585815,0.8025,0.832980972516,mlp,0.1
0.1,0.889847246181,0.89,0.886010362694,hardb_mlp,0.1
0.1,0.935198379959,0.935,0.937198067633,clsdep_mlp,0.1
0.1,0.823333083327,0.8225,0.847311827957,mlp,0.2
0.1,0.952586314658,0.9525,0.953086419753,hardb_mlp,0.2
0.1,0.862959073977,0.8625,0.873563218391,clsdep_mlp,0.2
0.1,0.86790919773,0.8675,0.877030162413,mlp,0.3
0.1,0.955073876847,0.955,0.955445544554,hardb_mlp,0.3
0.1,0.9601240031,0.96,0.960784313725,clsdep_mlp,0.3
