%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.5,0.8854166666666666,0.885,0.8878048780487806,wu_mlp,0.5
0.5,0.8884214743589745,0.89,0.8976744186046512,hb_mlp,0.5
0.5,0.8978365384615384,0.895,0.8911917098445596,eu_mlp,0.5
0.6000000000000001,0.5600961538461539,0.5425,0.2145922746781116,mlp,0.5
0.6000000000000001,0.8948317307692308,0.8925,0.8900255754475703,bw_mlp,0.5
0.6000000000000001,0.9082532051282051,0.9075,0.9090909090909091,wu_mlp,0.5
0.6000000000000001,0.9034455128205128,0.9025,0.9037037037037037,hb_mlp,0.5
0.6000000000000001,0.7682291666666667,0.76,0.7090909090909091,eu_mlp,0.5
0.7000000000000001,0.5,0.48,0.0,mlp,0.5
0.7000000000000001,0.8754006410256411,0.8725,0.8675324675324676,bw_mlp,0.5
0.7000000000000001,0.8617788461538461,0.8625,0.8693586698337292,wu_mlp,0.5
0.7000000000000001,0.8619791666666666,0.8625,0.8687350835322196,hb_mlp,0.5
0.7000000000000001,0.6442307692307692,0.63,0.44776119402985076,eu_mlp,0.5
0.8,0.5,0.48,0.0,mlp,0.5
0.8,0.9066506410256411,0.905,0.9045226130653268,bw_mlp,0.5
0.8,0.8908253205128205,0.89,0.8916256157635468,wu_mlp,0.5
0.8,0.8884214743589745,0.8875,0.8888888888888888,hb_mlp,0.5
0.8,0.507011217948718,0.4875,0.03755868544600939,eu_mlp,0.5
0.9,0.5,0.48,0.0,mlp,0.5
0.9,0.8727964743589745,0.87,0.8652849740932642,bw_mlp,0.5
0.9,0.827724358974359,0.825,0.8186528497409327,wu_mlp,0.5
0.9,0.8579727564102564,0.855,0.8489583333333334,hb_mlp,0.5
0.9,0.5024038461538461,0.4825,0.009569377990430623,eu_mlp,0.5
1.0,0.5,0.48,0.0,mlp,0.5
1.0,0.5,0.48,0.0,bw_mlp,0.5
1.0,0.5,0.48,0.0,wu_mlp,0.5
1.0,0.5,0.48,0.0,hb_mlp,0.5
1.0,0.5,0.48,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9138621794871794,0.9125,0.912718204488778,mlp,0.5
0.0,0.9110576923076923,0.91,0.9108910891089108,bw_mlp,0.5
0.0,0.8976362179487178,0.8975,0.9007263922518159,wu_mlp,0.5
0.0,0.905448717948718,0.905,0.9073170731707317,hb_mlp,0.5
0.0,0.9024439102564102,0.9025,0.9060240963855423,eu_mlp,0.5
0.1,0.9118589743589745,0.91,0.9090909090909091,mlp,0.5
0.1,0.9084535256410255,0.9075,0.9086419753086419,bw_mlp,0.5
0.1,0.8976362179487178,0.8975,0.9007263922518159,wu_mlp,0.5
0.1,0.8978365384615384,0.8975,0.900243309002433,hb_mlp,0.5
0.1,0.9050480769230769,0.905,0.9082125603864736,eu_mlp,0.5
0.2,0.8932291666666667,0.89,0.8848167539267016,mlp,0.5
0.2,0.8986378205128205,0.8975,0.8982630272952854,bw_mlp,0.5
0.2,0.8894230769230769,0.89,0.8952380952380953,wu_mlp,0.5
0.2,0.8894230769230769,0.89,0.8952380952380953,hb_mlp,0.5
0.2,0.8972355769230769,0.8975,0.9016786570743405,eu_mlp,0.5
0.30000000000000004,0.8764022435897435,0.8725,0.864,mlp,0.5
0.30000000000000004,0.8982371794871794,0.8975,0.8992628992628993,bw_mlp,0.5
0.30000000000000004,0.8739983974358975,0.875,0.8820754716981133,wu_mlp,0.5
0.30000000000000004,0.8892227564102564,0.89,0.8957345971563981,hb_mlp,0.5
0.30000000000000004,0.9002403846153846,0.9,0.9029126213592232,eu_mlp,0.5
0.4,0.8145032051282052,0.8075,0.7755102040816326,mlp,0.5
0.4,0.9096554487179488,0.9075,0.905852417302799,bw_mlp,0.5
0.4,0.8974358974358975,0.8975,0.9012048192771084,wu_mlp,0.5
0.4,0.8986378205128205,0.8975,0.8982630272952854,hb_mlp,0.5
0.4,0.9044471153846154,0.9025,0.9012658227848102,eu_mlp,0.5
0.5,0.7255608974358975,0.715,0.627450980392157,mlp,0.5
0.5,0.8784054487179487,0.875,0.868421052631579,bw_mlp,0.5
0.5,0.9004407051282052,0.9,0.9024390243902438,wu_mlp,0.5
0.5,0.9032451923076923,0.9025,0.9041769041769041,hb_mlp,0.5
0.5,0.8808092948717948,0.8775,0.8713910761154855,eu_mlp,0.5
0.6000000000000001,0.5622996794871794,0.545,0.22881355932203387,mlp,0.5
0.6000000000000001,0.8916266025641024,0.89,0.8894472361809046,bw_mlp,0.5
0.6000000000000001,0.891426282051282,0.89,0.8899999999999999,wu_mlp,0.5
