%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.8761135021519368,0.8775,0.8679245283018867,bw_mlp,0.5
0.0,0.9596636973275948,0.96,0.9583333333333333,wu_mlp,0.5
0.0,0.9545090581523371,0.955,0.9528795811518325,hb_mlp,0.5
0.0,0.9105194675207687,0.91,0.9090909090909091,eu_mlp,0.5
0.1,0.9028125312781504,0.905,0.8944444444444445,mlp,0.5
0.1,0.94920428385547,0.95,0.9470899470899472,bw_mlp,0.5
0.1,0.8832198979081174,0.8825,0.8822055137844611,wu_mlp,0.5
0.1,0.9593634270843759,0.96,0.9578947368421052,hb_mlp,0.5
0.1,0.8653287959163247,0.865,0.8629441624365483,eu_mlp,0.5
0.2,0.9103943549194276,0.9125,0.9030470914127425,mlp,0.5
0.2,0.9182764488039236,0.92,0.912568306010929,bw_mlp,0.5
0.2,0.9369182264037633,0.9375,0.9343832020997375,wu_mlp,0.5
0.2,0.8718346511860675,0.87,0.8743961352657005,hb_mlp,0.5
0.2,0.94692723451106,0.9475,0.9448818897637795,eu_mlp,0.5
0.30000000000000004,0.8409568611750576,0.845,0.8154761904761906,mlp,0.5
0.30000000000000004,0.9059903913522172,0.9075,0.899728997289973,bw_mlp,0.5
0.30000000000000004,0.9176508857972175,0.9175,0.9156010230179028,wu_mlp,0.5
0.30000000000000004,0.9517816034430988,0.9525,0.949868073878628,hb_mlp,0.5
0.30000000000000004,0.9493544189770795,0.95,0.9473684210526316,eu_mlp,0.5
0.4,0.7768241417275549,0.7825,0.7238095238095238,mlp,0.5
0.4,0.8665548994094686,0.8675,0.8594164456233422,bw_mlp,0.5
0.4,0.8732108898008207,0.8725,0.8721804511278195,wu_mlp,0.5
0.4,0.9419227304574117,0.9425,0.9396325459317586,hb_mlp,0.5
0.4,0.8525923330997899,0.8525,0.8491048593350383,eu_mlp,0.5
0.5,0.634020618556701,0.645,0.42276422764227645,mlp,0.5
0.5,0.8417075367831048,0.845,0.8208092485549132,bw_mlp,0.5
0.5,0.9190271244119708,0.92,0.9148936170212766,wu_mlp,0.5
0.5,0.9210039035131619,0.9225,0.9159891598915989,hb_mlp,0.5
0.5,0.8389800820738665,0.8425,0.8163265306122448,eu_mlp,0.5
0.6000000000000001,0.5154639175257731,0.53,0.06000000000000001,mlp,0.5
0.6000000000000001,0.8545941347212491,0.8575,0.8376068376068376,bw_mlp,0.5
0.6000000000000001,0.9493544189770795,0.95,0.9473684210526316,wu_mlp,0.5
0.6000000000000001,0.9413221899709738,0.9425,0.938337801608579,hb_mlp,0.5
0.6000000000000001,0.8376288659793815,0.8425,0.8061538461538462,eu_mlp,0.5
0.7000000000000001,0.5,0.515,0.0,mlp,0.5
0.7000000000000001,0.818511660494445,0.8225,0.7893175074183976,bw_mlp,0.5
0.7000000000000001,0.9061405264738265,0.9075,0.9002695417789758,wu_mlp,0.5
0.7000000000000001,0.9034130717645882,0.905,0.8967391304347826,hb_mlp,0.5
0.7000000000000001,0.641902712441197,0.6525,0.44621513944223107,eu_mlp,0.5
0.8,0.5,0.515,0.0,mlp,0.5
0.8,0.8216895205685117,0.825,0.7976878612716762,bw_mlp,0.5
0.8,0.8580722650385347,0.86,0.8461538461538461,wu_mlp,0.5
0.8,0.9208537683915524,0.9225,0.9155313351498637,hb_mlp,0.5
0.8,0.5103092783505154,0.525,0.04040404040404041,eu_mlp,0.5
0.9,0.5,0.515,0.0,mlp,0.5
0.9,0.7872835551996797,0.7925,0.7414330218068536,bw_mlp,0.5
0.9,0.850340306275648,0.8525,0.8365650969529086,wu_mlp,0.5
0.9,0.8076018416574917,0.8125,0.7692307692307693,hb_mlp,0.5
0.9,0.5,0.515,0.0,eu_mlp,0.5
1.0,0.5,0.515,0.0,mlp,0.5
1.0,0.5,0.515,0.0,bw_mlp,0.5
1.0,0.5,0.515,0.0,wu_mlp,0.5
1.0,0.5,0.515,0.0,hb_mlp,0.5
1.0,0.5,0.515,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9517816034430988,0.9525,0.949868073878628,mlp,0.5
0.0,0.9569362426183565,0.9575,0.9553805774278216,bw_mlp,0.5
0.0,0.9470773696326694,0.9475,0.9451697127937336,wu_mlp,0.5
0.0,0.957086377739966,0.9575,0.9556135770234987,hb_mlp,0.5
0.0,0.8565208687819036,0.855,0.8585365853658536,eu_mlp,0.5
0.1,0.8580722650385347,0.86,0.8461538461538461,mlp,0.5
0.1,0.8844460014012612,0.885,0.8795811518324608,bw_mlp,0.5
0.1,0.8905014513061755,0.89,0.8888888888888888,wu_mlp,0.5
0.1,0.9593634270843759,0.96,0.9578947368421052,hb_mlp,0.5
0.1,0.9670953858472626,0.9675,0.9660574412532638,eu_mlp,0.5
0.2,0.844735261735562,0.8475,0.8271954674220964,mlp,0.5
0.2,0.8905264738264438,0.8925,0.8815426997245179,bw_mlp,0.5
0.2,0.9546591932739465,0.955,0.953125,wu_mlp,0.5
0.2,0.9467770993894505,0.9475,0.9445910290237466,hb_mlp,0.5
0.2,0.9347913121809629,0.935,0.9326424870466321,eu_mlp,0.5
0.30000000000000004,0.8693073766389751,0.8725,0.8530259365994235,mlp,0.5
0.30000000000000004,0.930862776498849,0.9325,0.9264305177111716,bw_mlp,0.5
0.30000000000000004,0.9369182264037633,0.9375,0.9343832020997375,wu_mlp,0.5
0.30000000000000004,0.8231408267440696,0.82,0.8333333333333334,hb_mlp,0.5
0.30000000000000004,0.8810929836853169,0.88,0.8811881188118811,eu_mlp,0.5
0.4,0.7684916424782304,0.775,0.7039473684210527,mlp,0.5
0.4,0.8420078070263237,0.845,0.8228571428571428,bw_mlp,0.5
0.4,0.9344910419377439,0.935,0.9319371727748691,wu_mlp,0.5
0.4,0.94692723451106,0.9475,0.9448818897637795,hb_mlp,0.5
0.4,0.9313131818636773,0.9325,0.9276139410187668,eu_mlp,0.5
0.5,0.6884446001401261,0.6975,0.5535055350553506,mlp,0.5
0.5,0.8949304373936543,0.8975,0.8845070422535212,bw_mlp,0.5
0.5,0.9267590831748573,0.9275,0.9234828496042217,wu_mlp,0.5
0.5,0.9199279351416274,0.92,0.9175257731958762,hb_mlp,0.5
0.5,0.9131218096286658,0.915,0.9065934065934066,eu_mlp,0.5
0.6000000000000001,0.5309278350515464,0.545,0.11650485436893204,mlp,0.5
0.6000000000000001,0.8260934841357221,0.83,0.7988165680473374,bw_mlp,0.5
0.6000000000000001,0.8614002602342108,0.8625,0.8533333333333333,wu_mlp,0.5
0.6000000000000001,0.871684516064458,0.87,0.8737864077669902,hb_mlp,0.5
0.6000000000000001,0.8300470423381042,0.835,0.7962962962962964,eu_mlp,0.5
0.7000000000000001,0.5,0.515,0.0,mlp,0.5
0.7000000000000001,0.8583725352817536,0.86,0.8478260869565218,bw_mlp,0.5
0.7000000000000001,0.8424331898708839,0.8425,0.8380462724935733,wu_mlp,0.5
0.7000000000000001,0.8569962966670005,0.8575,0.8511749347258486,hb_mlp,0.5
0.7000000000000001,0.6805625062556301,0.69,0.5338345864661653,eu_mlp,0.5
0.8,0.5,0.515,0.0,mlp,0.5
0.8,0.8389800820738665,0.8425,0.8163265306122448,bw_mlp,0.5
0.8,0.8506405765188669,0.8525,0.8383561643835616,wu_mlp,0.5
0.8,0.8668551696526876,0.8675,0.8608923884514434,hb_mlp,0.5
0.8,0.5,0.515,0.0,eu_mlp,0.5
0.9,0.5,0.515,0.0,mlp,0.5
0.9,0.7951656490841758,0.8,0.7546012269938651,bw_mlp,0.5
0.9,0.8554949454509058,0.8575,0.8429752066115703,wu_mlp,0.5
0.9,0.7506005404864378,0.7575,0.6755852842809364,hb_mlp,0.5
0.9,0.5,0.515,0.0,eu_mlp,0.5
1.0,0.5,0.515,0.0,mlp,0.5
1.0,0.5,0.515,0.0,bw_mlp,0.5
1.0,0.5,0.515,0.0,wu_mlp,0.5
1.0,0.5,0.515,0.0,hb_mlp,0.5
1.0,0.5,0.515,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9291862676408768,0.93,0.9259259259259259,mlp,0.5
0.0,0.8735361825643079,0.875,0.8648648648648649,bw_mlp,0.5
0.0,0.9199279351416274,0.92,0.9175257731958762,wu_mlp,0.5
0.0,0.883820438394555,0.8825,0.8845208845208845,hb_mlp,0.5
0.0,0.8616755079571614,0.86,0.8640776699029126,eu_mlp,0.5
0.1,0.9314633169852867,0.9325,0.9280000000000002,mlp,0.5
0.1,0.9313131818636773,0.9325,0.9276139410187668,bw_mlp,0.5
0.1,0.94465018516665,0.945,0.9427083333333334,wu_mlp,0.5
0.1,0.9567861074967471,0.9575,0.9551451187335093,hb_mlp,0.5
0.1,0.9595135622059854,0.96,0.9581151832460733,eu_mlp,0.5
0.2,0.941021919727755,0.9425,0.937669376693767,mlp,0.5
0.2,0.9282854569112201,0.93,0.9234972677595628,bw_mlp,0.5
0.2,0.9495045540986888,0.95,0.9476439790575917,wu_mlp,0.5
0.2,0.9495045540986888,0.95,0.9476439790575917,hb_mlp,0.5
0.2,0.9441997798018216,0.945,0.9417989417989417,eu_mlp,0.5
0.30000000000000004,0.80805224702232,0.8125,0.7734138972809667,mlp,0.5
0.30000000000000004,0.8397307576819137,0.8425,0.821529745042493,bw_mlp,0.5
0.30000000000000004,0.9498048243419077,0.95,0.9481865284974094,wu_mlp,0.5
0.30000000000000004,0.931913722350115,0.9325,0.9291338582677166,hb_mlp,0.5
0.30000000000000004,0.946626964267841,0.9475,0.9442970822281166,eu_mlp,0.5
0.4,0.8793163847462716,0.8825,0.8645533141210374,mlp,0.5
0.4,0.908267440696627,0.91,0.9016393442622951,bw_mlp,0.5
0.4,0.9394955459913924,0.94,0.93717277486911,wu_mlp,0.5
0.4,0.9520818736863178,0.9525,0.950391644908616,hb_mlp,0.5
0.4,0.9417725953358022,0.9425,0.9393139841688655,eu_mlp,0.5
0.5,0.7064858372535282,0.715,0.5899280575539568,mlp,0.5
0.5,0.8956811130017016,0.8975,0.8876712328767123,bw_mlp,0.5
0.5,0.870333299969973,0.87,0.8680203045685279,wu_mlp,0.5
0.5,0.9288859973976579,0.93,0.9251336898395722,hb_mlp,0.5
0.5,0.839130217195476,0.8425,0.817391304347826,eu_mlp,0.5
0.6000000000000001,0.5,0.515,0.0,mlp,0.5
0.6000000000000001,0.8423080772695426,0.845,0.8248587570621468,bw_mlp,0.5
0.6000000000000001,0.9070413372034831,0.9075,0.9033942558746737,wu_mlp,0.5
0.6000000000000001,0.8768391552397158,0.875,0.8792270531400965,hb_mlp,0.5
0.6000000000000001,0.7581823641277149,0.765,0.6866666666666666,eu_mlp,0.5
0.7000000000000001,0.5025773195876289,0.5175,0.010256410256410256,mlp,0.5
0.7000000000000001,0.836853167851066,0.84,0.8160919540229885,bw_mlp,0.5
0.7000000000000001,0.871259133219898,0.8725,0.8632707774798928,wu_mlp,0.5
0.7000000000000001,0.8900760684616155,0.8925,0.8795518207282913,hb_mlp,0.5
0.7000000000000001,0.7710689620658593,0.7775,0.7081967213114754,eu_mlp,0.5
0.8,0.5,0.515,0.0,mlp,0.5
0.8,0.8441347212491243,0.8475,0.8231884057971015,bw_mlp,0.5
0.8,0.8554949454509058,0.8575,0.8429752066115703,wu_mlp,0.5
0.8,0.8849214292863578,0.8875,0.8732394366197185,hb_mlp,0.5
0.8,0.5077319587628866,0.5225,0.030456852791878174,eu_mlp,0.5
0.9,0.5,0.515,0.0,mlp,0.5
0.9,0.7766740066059454,0.7825,0.7220447284345048,bw_mlp,0.5
0.9,0.8615503953558203,0.8625,0.8541114058355437,wu_mlp,0.5
0.9,0.8268441597437696,0.83,0.8045977011494252,hb_mlp,0.5
0.9,0.5,0.515,0.0,eu_mlp,0.5
