epoch,acc,loss,lr,val_acc,val_loss
0,0.65542973751600508,1.5548437554460788,0.0001,0.46229999999999999,1.7449792877197265
1,0.61020105735341235,1.3259712005799797,0.0001,0.49085000000000001,1.5560768949508668
2,0.59455102531239989,1.2367073591608759,0.0001,0.52395000000000003,1.4309911703109741
3,0.59159724447292539,1.1767468482246386,0.0001,0.55405000000000004,1.3356333744049071
4,0.58700136174303108,1.1322550833206153,0.0001,0.54900000000000004,1.3008042057037354
5,0.58515900352451133,1.0942985268977543,0.0001,0.58514999999999995,1.211924232673645
6,0.58093359500160202,1.0649508044185718,0.0001,0.59065000000000001,1.1730184982299805
7,0.58470842678628643,1.0357513923516681,0.0001,0.60634999999999994,1.1400214748382569
8,0.587502002563281,1.0097432789684908,0.0001,0.59940000000000004,1.147257867050171
9,0.58617029798141618,0.98406852930259037,0.0001,0.60524999999999995,1.111175001525879
10,0.58627042614546621,0.96664748022625824,0.0001,0.63724999999999998,1.0524407144546508
11,0.58740187439923097,0.94257560348480185,0.0001,0.64065000000000005,1.0295326789855956
12,0.58827298942646589,0.93512818909577555,0.0001,0.63244999999999996,1.0317502561569214
13,0.59019545017622554,0.91176198413837262,0.0001,0.63454999999999995,1.0208424962997436
14,0.58925424543415572,0.90176567688312181,0.0001,0.65585000000000004,0.97613168430328368
15,0.59021547580903555,0.88649403533275517,0.0001,0.65695000000000003,0.97646431961059565
16,0.58995514258250559,0.87598395691357989,0.0001,0.65890000000000004,0.96078518962860104
17,0.59437079461710995,0.86607627341931392,0.0001,0.67969999999999997,0.92951415843963625
18,0.59379005126562001,0.85480963557395218,0.0001,0.68130000000000002,0.90774266529083247
19,0.59423061518743991,0.8470677369223768,0.0001,0.68554999999999999,0.89351409568786622
20,0.59447092278115987,0.8357646117528178,0.0001,0.68759999999999999,0.90062527103424073
21,0.59760493431592443,0.8285625742743008,0.0001,0.68225000000000002,0.88998215408325199
22,0.59448093559756487,0.82284463578712785,0.0001,0.68405000000000005,0.88518289489746094
23,0.59909684396026919,0.81045114489863679,0.0001,0.68745000000000001,0.87501683301925659
24,0.59661366549182959,0.80738808668717787,0.0001,0.69894999999999996,0.8647696702003479
25,0.59757489586670942,0.79588889313676114,0.0001,0.69710000000000005,0.85342578983306883
26,0.59932713873758414,0.78843772355962438,0.0001,0.69635000000000002,0.85133680963516234
27,0.59865628003844917,0.78228256242926864,0.0001,0.69869999999999999,0.86104182300567622
28,0.60014818968279393,0.77877223449653254,0.0001,0.70760000000000001,0.83715526294708253
29,0.60067886895225886,0.77466162885469103,0.0001,0.71104999999999996,0.82735449781417847
30,0.59900672861262416,0.76783238856007907,0.0001,0.68930000000000002,0.84274092216491703
31,0.60274150913168856,0.76194118553917589,0.0001,0.70379999999999998,0.82351510124206539
32,0.60213072733098361,0.75559631447423847,0.0001,0.71760000000000002,0.80156574602127073
33,0.60465395706504321,0.75305440954121594,0.0001,0.70884999999999998,0.80624922971725466
34,0.60109940724126887,0.74698169614901266,0.0001,0.70799999999999996,0.81268983459472655
35,0.60381288048702342,0.74377867041853363,0.0001,0.72160000000000002,0.79059929065704349
36,0.60565523870554305,0.73476262118945479,0.0001,0.71850000000000003,0.7935570291519165
37,0.60570530278756807,0.73124188969663151,0.0001,0.71294999999999997,0.79166907310485835
38,0.60754766100608781,0.72651996728282298,0.0001,0.71650000000000003,0.79453475904464721
39,0.60261134251842363,0.72678732738323759,0.0001,0.73080000000000001,0.76005320987701419
40,0.60709708426786291,0.71709578052922263,0.0001,0.72089999999999999,0.77737671146392817
41,0.60351249599487344,0.71879953713189404,0.0001,0.72809999999999997,0.77404165239334111
42,0.60879926305671261,0.71159794560917977,0.0001,0.71584999999999999,0.78677592105865479
